Address,CountryCode,Nickname,Fingerprint,Bandwidth,Flags,Guard,Middle,Exit
199.249.230.144,US,Quintex55,00DCAEAE3E54C32809E7F7CC4BF2A6FC68FC552F,15000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
116.203.50.182,DE,dragonhoard,00E1649E69FF91D7F01E74A5E62EF14F7D9915E4,15000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
51.222.31.141,CA,overhoop,00E810DD83D1B76D12ED69BC2D3FEBD79F800378,20000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
199.249.230.174,US,Quintex85,00EB3A12C77E70F19F66A7BBD094D62969AF350D,21000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
131.153.152.170,US,puppetshow,00EEFC60C571929282A0FEBB909D5893BE03787C,110000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
212.227.74.176,DE,IBDUUIBAD,00F1F247B391B84CB6C221720BCBFC0DFDB91117,46000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
192.42.116.217,,NTH20R3,00FB85B65AC2F460CD46A3B6E5639821E3F52048,27000,Exit Fast Running Stable Valid,No,No,Yes
185.195.71.244,CH,DigiGesTor1e1,0111BA9B604669E636FFD5B503F382A4B7AD6E80,32000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
95.143.193.125,SE,motauri,01181B31BE5860C7D66DA88F88AD522C06470FD9,1500,Exit Fast HSDir Running Stable V2Dir Valid,No,No,Yes
100.15.126.231,US,iatethewholething,01211857DE559D095241AAC508BE6E0512D903A2,6200,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
134.209.159.74,IN,bang1,0136696B025AC5503847D736FE9F3D65EB27A596,840,Fast HSDir Running Stable V2Dir Valid,No,No,No
45.129.182.225,DE,b0rken,013ABAED8F4CDB677BE0B5212E4B2583B86035EE,33000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
77.91.78.210,FI,cozybeardev,014326416058DCFD0965167026CBEF647409A000,22000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
78.142.18.219,BG,bauruine,0145977CF1D2D4AAF98907BF81DAAD8480EFC3FD,19000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
2.57.122.246,RO,prsv,014B673F5342F70F7C5CADC15A8C86CBA6D1608C,7200,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
5.57.243.47,SE,insist,014BD09636373B78CC28BA70E36C7190E3DE236A,17000,Fast Running V2Dir Valid,No,No,No
20.224.145.181,NL,marsmellow,014EE24BCBDA160F236B2547A4639B27E303A1E7,630,Fast Running Stable Valid,No,No,No
140.99.148.82,US,doc26,015383F9E51E170F70307A5A3A846E024C31E0C6,7900,BadExit Fast MiddleOnly Running Stable Valid,No,Yes,No
51.89.153.112,GB,lizzie01,0165267F20391424CE5AEA316A7C6372C0EEF198,55000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
45.14.233.149,DE,mikrogravitation01,01759BAA5DE5FA19E36FADAF7D9BC64C15573ABC,27000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
185.21.217.32,GB,Bigdaddy,017B08CC163424CD6ABA4ADD4042B4174D494732,49000,Fast Running Stable Valid,No,No,No
142.44.243.133,CA,PyotrTorpotkinTwo,019FEB22CE04CBD0489B7F24BE038518B64FA223,21000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
144.217.90.215,CA,MyLabRelay4,01A559A83A0F51495D5CC660C2D1AEE4142435A7,13000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
45.136.244.187,RU,bauruine,01A6AB7119098BBEAD9F538187FFBB4E91F0904F,15000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
89.58.34.53,DE,root1Moh,01B8F18C11CE2877E8190FA2C81808CD087515C0,21000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
84.254.32.162,GR,abracadabra,01EDF443A7EF02A8DA55FC5AC519D3D38477C303,290,Fast Running Stable V2Dir Valid,No,No,No
185.21.217.29,GB,SofiaLamb,01F2BF8CBD0BA82B5354D01BE4AF249C2C73B038,30000,Fast Running Stable Valid,No,No,No
171.25.193.78,SE,DFRI27,01F648AFD7FCC68E7917F42CF3533CC5D3A93DF1,15000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
109.207.77.201,IL,island,01FC169CAF449D5E5EF67523F69346E7CB6A0572,5300,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
92.42.14.204,RU,RS1Lselectel,01FF9C8571D1C09FA8D2ACCE727D5530FEC10038,25000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
194.147.140.103,MN,tor103IPConnectINFO,021325CC77E58EFAC09CC621E2E22C2809AF85C7,11000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
95.216.20.80,FI,c0der,02351FC88D0BF06F6CDE5452656641E6119DBD7E,46000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
185.146.232.243,SC,rome2,02357911B882F257676E75B07ECFFF5885E4B345,8300,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
45.141.153.214,US,howlin,0258BDAE9B351714B0BCC0DABE1D798D662EBA88,45000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
45.158.77.29,GB,prsv,025DDB017D79460C4A3F6795D52FEFBB56A133F3,24000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
104.194.235.104,US,Assange029us,02648F2F135C7296A27B1F59D2AE4EEC25D9A877,3500,Fast Running Stable Valid,No,No,No
80.104.242.70,IT,middleIsenguard,02654B8B9803775860CDF2C7F7109FF68A1349AA,12000,Fast Running Stable V2Dir Valid,No,No,No
57.128.174.82,GB,danon,026C57A3DCE4893BC331AD1F8BA6EB894BC4A0F9,12000,Fast Running Stable V2Dir Valid,No,No,No
81.169.222.158,DE,zagreus,02740F472D1DA5C1B77475F18940FE79F15AF4B8,550,Fast HSDir Running Stable V2Dir Valid,No,No,No
94.130.85.4,DE,3vu01,0277985965D361480F51B611E10CA51ADD8300A3,37000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
185.220.102.244,DE,Digitalcourage4ipeb,027E75C92F1231AE5F7BD4E1536696FE3040C460,25000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
185.44.81.21,FR,prsv,02895A5994A6A291D3938C1142EBFD3B8C296709,15000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
146.0.36.87,DE,Kanellos,028BEF4A81578286BAA1352C73E4609B9915C687,43000,Fast Running V2Dir Valid,No,No,No
141.147.54.226,DE,LV426,02A59412DE589A009369BCBF81E56F0D64B3B464,20,Running Stable V2Dir Valid,No,No,No
5.2.79.190,NL,onionDAOrel0aded1,02A8CCB1FB70984226231283596DA734A80E3F6F,2500,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
185.220.101.171,DE,relayon1171,02AA3657638207AB3EE3D988C5549358252CF9AC,9800,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
89.58.60.208,DE,0x67726579,02B2152129686AE0BE05F3D1460591DD71C4BB15,15000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
152.70.140.84,US,Shado,02B4B5B92EE60D5317A0DB301175737AB8F1718A,6800,Fast Running Stable Valid,No,No,No
185.220.101.164,DE,relayon1164,02C768E3B61332EDB4565ECF99FE9A937EFEB83F,15000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
45.92.33.62,GR,kykeon,02C7A07B1214AA338A705EFCCA409D700F757201,31000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
178.170.10.39,FR,Fearless2,02D634ADD9B41677D2834BF2C5203B6833DE7380,4800,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
178.18.94.247,NL,bigtits,02D7A3058F5DBC0A02AA48BB1F0412C52DF86B92,88,Running Stable Valid,No,No,No
209.141.37.94,US,8412034103780237,02D832F002D4CA3D25ADDA2CBBB2D09EE41A15AB,2900,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
185.220.101.153,DE,relayon0153,02E61710C4FB8FDE5F4829F65098844339B3F6EA,6500,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
98.116.189.219,US,tortellini,02F250898E6213FC6B5BAEA368322BEE015AD677,5900,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
45.141.215.97,PL,Quetzalcoatl,02FCF62C0AD3AD1D208D7F27E12E8840EF53C7E0,12000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
192.42.116.179,,NTH27R2,03000EDDFEB7DB6A4171D09D2DF028ADA6B27DEE,24000,Exit Fast Running Stable Valid,No,No,Yes
23.128.248.18,US,StormyCloud,0302123FAFBD664BCD5550B14B8A704012181EB4,12000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
145.40.203.242,CH,Basil,030651D6401349BFC9D5283A1E53ECAA679EB6ED,2900,Fast Running Stable V2Dir Valid,No,No,No
79.56.40.176,IT,ElDavo,030ED2A606603ECBA954B928B81CEB35B8DC62C2,6400,Fast Running V2Dir Valid,No,No,No
80.64.218.59,GB,TorUk2,0318F32C914B86718C0AFAB8B690AF559C38DD7A,2300,Fast Running Valid,No,No,No
93.95.225.141,IS,syndicateguys,031C40EC2C8C861740DC845F5E8888368CE5FA56,12000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
89.147.110.154,IS,ResetTheWorld,0321C0C3E51DA94199706CA42F5794B607E395B9,130,Exit Fast Running Stable Valid,No,No,Yes
23.137.249.227,NL,hogman9,032E18F26B35047A20EB1F0E480D0DFD3D8AB6E2,13000,Exit Fast Running Stable Valid,No,No,Yes
193.26.115.61,US,Quetzalcoatl,03465D21A22B24B242301471D5AA11E4E0E0C915,8400,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
77.91.86.95,SE,cozybeardev,034ED155E6DA8277BC7F294896BFD7013D7BD7B0,15000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
107.189.8.226,LU,Quetzalcoatl,035F813195F0CB9F567EDFDF60C6745CA36BA0BD,14000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
172.107.202.142,US,parsel,036E015AD84D3C605666E3A3306B1E3E18A89482,62000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
193.189.100.202,SE,TORKeFFORG9,036EFD2E61DEA3D2FEE59861BA4245E4DE864112,25000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
209.58.180.236,SG,hong,0371E4EC901C4FC77FEA2AA5BE4218F0BE1F6CE3,2800,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
5.154.174.241,PT,SLOG,037B6C60DAD4DF32FDA29BF458D5C8C816AA8F3E,17000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
37.120.171.188,DE,dike,037BCD0EBDF7DB9F3D562DA27D463F0F78F1494B,13000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
139.162.86.33,JP,s5p2jplinode,037C1DFCEE2E319CC512944A1A7A5700522ABF1F,1200,Fast HSDir Running Stable V2Dir Valid,No,No,No
185.220.101.78,DE,CCCStuttgartBer,037FF23B7D09A6044AA30B0AEA134FFEBC9A231A,22000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
185.243.218.89,NO,bauruine,038B2A774C859796FC11D26DB7F16494708F7749,17000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
82.221.131.71,IS,turnt,038C30D2AD053147C91EFB1291527ED621D7D1B1,8900,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
45.79.159.52,US,ry4an,039003C320D9980E0A740F107A1A9C13C99C5FE3,490,Fast Running Stable Valid,No,No,No
45.138.228.251,NL,BoomStick,039A383F8CE5B98D1A84D2838D24930657E472E0,21000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
202.61.244.17,AT,noury,039BD369CCB62BE840FCE46B77213A8104DEB1AF,34000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
185.220.103.114,US,psychopomp7,039F4CBDFF7D07FC5C8188ADC073F8632C9C9708,38000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
96.66.15.152,US,TLCOnion,03A33C3454FC0F9AC6966F12FA486999F5A22896,230,Exit Fast HSDir Running Stable V2Dir Valid,No,No,Yes
89.58.55.205,DE,RelayUli,03B9585A46122C21774B3096664A8A2140BF5635,32000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
46.148.26.44,LT,snakeskin,03BAAC87560E85B282A94FA69128E00438663511,9000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
163.172.76.56,FR,Totonicapanp6,03BD56B5072FB07D2B4D79E2FB04366D415EF3EC,19000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
85.215.91.150,DE,929oi1u23jd987j,03BE73E581F99EFFF19AB582EF0C7E8E6531CEDA,12000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
81.7.10.193,DE,Ichotolot61,03C3069E814E296EB18776EB61B1ECB754ED89FE,190,Fast Running Stable V2Dir Valid,No,No,No
185.163.45.212,MD,server001,03C794401A92F2F033AD5DFB2FC005D445910654,5300,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
185.104.194.129,PL,lewandowsky,03CB58CC506894147FFABAF43F6A84C52BDFCECA,6700,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
109.70.100.6,AT,Unnamed,03CCD8C021B75030122B48E5665A86E199EC989C,14000,Exit Fast Running Stable Valid,No,No,Yes
136.243.3.194,DE,blackfox,03D1EF3EF2BE5145150C58ACC72519DD860E61BA,58000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
79.232.168.54,DE,magrateaNode,03D817614E570EE6DF3FCAC8EA4F65E6A44BF951,2300,Fast Running Stable V2Dir Valid,No,No,No
198.74.57.57,US,itzme,03DA20FD71CED188C8B7652E81941C506724DBA6,60,Running Stable V2Dir Valid,No,No,No
94.100.6.72,LV,Wildtwister,03E107A3663E912664F4A934DFF451262C218357,550,Fast HSDir Running Stable V2Dir Valid,No,No,No
217.155.40.118,GB,4pyro2eu3org0,03E9F7E669C8F911C5EEC3EC094533151F857420,1400,Fast Running Stable V2Dir Valid,No,No,No
187.20.59.164,BR,arbitrium,03F68AB569154C4B995E7F36528322079E4829B9,42,Exit Running Stable V2Dir Valid,No,No,Yes
192.42.116.217,,NTH20R4,0403BD88235C49F4C0672F213912FCB3A2B93DCC,22000,Exit Fast Running Stable Valid,No,No,Yes
89.147.111.107,IS,tortmak2002dev,0407B65131D4096F7FD042ED46AA5728ED051274,12000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
158.69.204.36,CA,stars1,0409605E8343562A790FFE846CB3BD7C04429F70,16000,Fast Running V2Dir Valid,No,No,No
177.104.142.225,BR,red6,040D6001435CDAA8D3DAE2EE51CF2F48C4530E76,2600,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
207.244.78.230,US,Kumquat,04102613D8F998E956A7868D2DE5A532EE2473EA,120000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
76.71.6.191,CA,LunchBoxCanRelay,0411EDB54F61F58F5EA8B96C3BBE0985B288069D,16000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
199.249.230.79,US,QuintexAirVPN26,041646640AB306EA74B001966E86169B04CC88D2,6400,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
66.175.235.244,US,ecuasterces,042BCDF2D36D7AEE070E086DAD4B57F27B2F1143,41000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
95.236.250.142,IT,Unnamed,042FE97AC141322809AD2862BE08F88705D4AADF,300,Fast HSDir Running Stable V2Dir Valid,No,No,No
104.248.129.93,DE,HISENSE,043238F2D458A3CF023076BA5CBC893D0351A341,320,Fast HSDir Running Stable V2Dir Valid,No,No,No
77.109.152.87,CH,arbertDelroth,0432BEE829FCB155CE92CF418B7280F9849E12D0,37000,Fast Running Stable V2Dir Valid,No,No,No
72.107.21.253,US,Unnamed,0438B5679D52CD10756924D425FDE03B40840304,1600,Fast HSDir Running Stable V2Dir Valid,No,No,No
95.216.22.87,FI,johnsrelay,0439AB73BB2B8730FCB15B18252928FC0C2EDF91,37000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
198.251.88.142,LU,Polyphemus2,044428D910C037932A0763BB089769943F6BA648,19000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
185.229.90.81,CH,bauruine,045BBCA9602A22C112984F25003CD4897CFFB9E5,13000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
190.211.254.210,GB,LAGARGOUILLEVIF,046A2841A526E3D5690ED33D568E9891C39503D8,1600,Fast HSDir Running Stable V2Dir Valid,No,No,No
95.217.62.4,FI,Zwiebelmett,046F2D59A85FAE693676A87533717C57436261C2,25000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
185.220.101.51,DE,ForPrivacyNET,04749CD6A6BE1C0B14EE63DFD0F13EEB9EFEE8AB,23000,Exit Fast Guard Running Stable V2Dir Valid,No,No,Yes
192.42.116.17,,hviv117,0485027A0A349D454D978F6C1CECDD29EA17769A,21000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
82.223.165.239,ES,ZwiebelRouter04,048B9A44712BDC2B896691E37B2B62C4A81D4DE5,13000,Fast Running V2Dir Valid,No,No,No
146.19.213.39,US,Scarab,049298986477A89407AA70311645D0497F1E0FE1,960,Fast HSDir Running Stable V2Dir Valid,No,No,No
81.169.237.83,DE,DonaldStrato,04941C6EA54F50D2150FF24D9786D0A266E1ADE6,29000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
85.214.49.28,DE,HackerBobRelay,049700B89D90486682F4F96B98C589F18731267D,30000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
193.218.118.180,UA,reallyniceplace,049852A10805835E9AB2C551D6C438BE6DE8B24C,7000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
51.158.187.110,FR,aaron0x10c,04C3468BE24740347CBCC00534C940DBCBCABC82,21000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
192.42.116.199,,NTH9R3,04D50494BD2E4B3913489062303442BC9D5CC0C7,19000,Exit Fast Running Stable Valid,No,No,Yes
209.35.35.155,CA,vaseline,04D61D5E5FFEBEED22BB6E8068EDC2E119CD6864,20000,Fast Running Stable V2Dir Valid,No,No,No
207.244.238.230,US,Assange006us2,04D9CEA8D778ABA130B014F758C2BCADD31DA05E,3700,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
85.239.34.24,US,Spellbound,04DAB3B5205C0EE19A702EBAFBBBC7AD21C24805,9200,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
46.22.212.230,EE,takei,04DFE047ACDF7A6620ACA782FAFC5EF1AE7F4754,17000,Fast Guard Running Stable V2Dir Valid,Yes,Yes,No
190.2.143.176,NL,moredaysleft777,04E96ED4C16CBED0D9E9AE6B979C21E842051687,79000,BadExit Fast MiddleOnly Running Stable Valid,No,Yes,No
213.175.95.220,LV,TorOnionsAreGreat,04EA8C169CD0F108AACE4F0E54F6202A2F8B41A3,10000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
91.213.233.138,KG,dorinne,04EE5E1B23127D26A36F71C66810D88B0B80BB91,560,Fast HSDir Running Stable V2Dir Valid,No,No,No
185.148.1.169,FI,SuckBankMoney,04FA76645DC5B794E2A088D58ABD5C5153A2CD23,20000,Fast Running Stable Valid,No,No,No
185.220.101.15,DE,artikel10ber57,050A1245EEC76B7438337BAAF19F4AB0666B375F,27000,Exit Fast Running Stable Valid,No,No,Yes
185.206.146.238,CY,adhoczone,050A7B26C0CACA6AE9A37B5E342B3D5CC56C790A,160,Fast Running Stable Valid,No,No,No
185.195.71.9,CH,AccessNow007,0516085D6CAC40ED4CDCEFDFC5CCF6B00DE61DED,860,Exit Fast Running Stable V2Dir Valid,No,No,Yes
89.147.110.36,IS,Kyavik,054532B307386E91683D8F47522871E2FEADD8EF,24,Running Stable Valid,No,No,No
80.13.139.249,FR,Mesolvarde,05475D946B748E1204F4D9AA44004575DB2A3CA7,17000,Fast Running V2Dir Valid,No,No,No
150.230.20.28,NL,RelayChu,054AF5AE5DA4AA0B81D7155542AF204252CB6D61,23000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
185.112.147.11,IS,RecapturePrivacy,05589195D66E7A7E05B17D41A2C332572742C295,15000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
109.236.83.11,NL,Unnamed,05681A9767834D9EDA9BDFE4E15A1BD73C4FDFCF,22,Running Stable V2Dir Valid,No,No,No
178.39.46.49,CH,myNiceRelay938635,0593A11A5C10A3FA3DC69C7256A818D294961C98,440,Fast HSDir Running Stable V2Dir Valid,No,No,No
178.20.55.16,FR,marcuse2,05A48DCB220236FCCA21B432C3D4A1FCE8AFCEEB,23000,Exit Fast Guard HSDir Running Stable V2Dir Valid,No,No,Yes
185.196.21.125,DE,rchzuege42derushasd,05A620BF1665DB6DBE0BA66A379C318A47EE9EDA,6200,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
121.50.43.135,JP,sonolbellsan,05B142AB4FCBC01482B9C8F6588B221C2E193EEF,2000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
81.20.143.138,DE,Unnamed,05BEC77F40DEC72C57CBCD3DD30439E859B8E52B,550,Fast Running Stable Valid,No,No,No
144.76.86.5,DE,TORtuga,05C32C5EE14454E0C4CD81DAE0F3DC32F729DA4B,51000,Fast Guard HSDir Running Stable V2Dir Valid,Yes,Yes,No
62.27.229.114,DE,h3u60M7iPf,05C46D155495916A210213006B64CC99FB903CD5,4800,Fast Running V2Dir Valid,No,No,No
